config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
sasrec-128-4-8-0.2-0.0005.yaml,128,4,8,0.2,0.0005,42,0.02413,0.04772,12,0.01028,0.0214,12,"(128, 4, 8, 0.2, 0.0005)",[42]
sasrec-128-3-2-0.3-0.001.yaml,128,3,2,0.3,0.001,42,0.02381,0.04727,10,0.01027,0.02182,10,"(128, 3, 2, 0.3, 0.001)",[42]
sasrec-128-2-2-0.3-0.001.yaml,128,2,2,0.3,0.001,42,0.02335,0.04831,7,0.01026,0.02158,7,"(128, 2, 2, 0.3, 0.001)","[42, 1, 256]"
sasrec-64-3-4-0.1-0.0005.yaml,64,3,4,0.1,0.0005,42,0.02247,0.04356,18,0.01026,0.02098,18,"(64, 3, 4, 0.1, 0.0005)",[42]
sasrec-128-2-4-0.3-0.0001.yaml,128,2,4,0.3,0.0001,42,0.023,0.04579,74,0.01026,0.02152,74,"(128, 2, 4, 0.3, 0.0001)",[42]
sasrec-256-3-4-0.1-0.0005.yaml,256,3,4,0.1,0.0005,42,0.0241,0.04504,11,0.01026,0.02098,11,"(256, 3, 4, 0.1, 0.0005)",[42]
64-2-4-0.3-0.001-1.yaml,64,2,4,0.3,0.001,1,0.02309,0.04683,10,0.01026,0.02069,10,"(64, 2, 4, 0.3, 0.001)","[42, 1]"
sasrec-256-3-8-0.1-0.001.yaml,256,3,8,0.1,0.001,42,0.02329,0.04668,4,0.01026,0.02182,4,"(256, 3, 8, 0.1, 0.001)",[42]
sasrec-256-3-8-0.3-0.0005.yaml,256,3,8,0.3,0.0005,42,0.02413,0.04965,9,0.01026,0.02229,9,"(256, 3, 8, 0.3, 0.0005)",[42]
sasrec-256-4-8-0.3-0.0005.yaml,256,4,8,0.3,0.0005,42,0.02411,0.04683,10,0.01025,0.0217,10,"(256, 4, 8, 0.3, 0.0005)",[42]
sasrec-64-4-2-0.3-0.0005.yaml,64,4,2,0.3,0.0005,42,0.02436,0.04742,19,0.01025,0.02045,19,"(64, 4, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-1-4-0.3-0.0001.yaml,256,1,4,0.3,0.0001,42,0.02302,0.04623,57,0.01024,0.02182,57,"(256, 1, 4, 0.3, 0.0001)",[42]
sasrec-256-3-2-0.2-0.001.yaml,256,3,2,0.2,0.001,42,0.02318,0.04489,6,0.01023,0.02187,6,"(256, 3, 2, 0.2, 0.001)",[42]
128-2-4-0.2-0.0005-1.yaml,128,2,4,0.2,0.0005,1,0.02323,0.04593,11,0.01023,0.02092,11,"(128, 2, 4, 0.2, 0.0005)","[42, 1]"
sasrec-128-3-2-0.2-0.0005.yaml,128,3,2,0.2,0.0005,42,0.02381,0.04697,10,0.01023,0.02092,10,"(128, 3, 2, 0.2, 0.0005)",[42]
sasrec-128-1-2-0.2-0.001.yaml,128,1,2,0.2,0.001,42,0.02203,0.04445,6,0.01023,0.02152,6,"(128, 1, 2, 0.2, 0.001)",[42]
128-4-4-0.3-0.001-1.yaml,128,4,4,0.3,0.001,1,0.02381,0.04638,9,0.01023,0.02176,9,"(128, 4, 4, 0.3, 0.001)","[42, 1, 256]"
64-4-2-0.2-0.001-1.yaml,64,4,2,0.2,0.001,1,0.02381,0.04445,12,0.01023,0.02122,12,"(64, 4, 2, 0.2, 0.001)","[42, 1, 256]"
sasrec-256-1-8-0.2-0.001.yaml,256,1,8,0.2,0.001,42,0.02247,0.04638,6,0.01023,0.02152,6,"(256, 1, 8, 0.2, 0.001)",[42]
sasrec-256-2-2-0.3-0.0001.yaml,256,2,2,0.3,0.0001,42,0.02426,0.04891,51,0.01022,0.02158,51,"(256, 2, 2, 0.3, 0.0001)",[42]
sasrec-64-4-8-0.3-0.0001.yaml,64,4,8,0.3,0.0001,42,0.02355,0.04504,105,0.01022,0.02045,105,"(64, 4, 8, 0.3, 0.0001)",[42]
128-4-2-0.3-0.0005-256.yaml,128,4,2,0.3,0.0005,256,0.02394,0.04727,12,0.01022,0.02051,12,"(128, 4, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-128-3-8-0.3-0.001.yaml,128,3,8,0.3,0.001,42,0.02319,0.04623,7,0.0102,0.02128,7,"(128, 3, 8, 0.3, 0.001)",[42]
sasrec-256-2-2-0.2-0.001.yaml,256,2,2,0.2,0.001,42,0.0227,0.04326,8,0.01019,0.02146,8,"(256, 2, 2, 0.2, 0.001)","[42, 1, 256]"
256-2-4-0.3-0.0005-1.yaml,256,2,4,0.3,0.0005,1,0.02379,0.04787,8,0.01019,0.02176,8,"(256, 2, 4, 0.3, 0.0005)","[1, 256]"
sasrec-64-1-4-0.3-0.01.yaml,64,1,4,0.3,0.01,42,0.02117,0.04222,6,0.01019,0.02086,6,"(64, 1, 4, 0.3, 0.01)",[42]
sasrec-128-2-4-0.2-0.0005.yaml,128,2,4,0.2,0.0005,42,0.02276,0.04593,11,0.01018,0.0211,11,"(128, 2, 4, 0.2, 0.0005)","[42, 1]"
sasrec-64-3-4-0.2-0.0005.yaml,64,3,4,0.2,0.0005,42,0.023,0.044,26,0.01018,0.02122,26,"(64, 3, 4, 0.2, 0.0005)",[42]
sasrec-256-3-4-0.2-0.0005.yaml,256,3,4,0.2,0.0005,42,0.02422,0.04891,7,0.01017,0.02164,7,"(256, 3, 4, 0.2, 0.0005)",[42]
sasrec-128-1-2-0.3-0.0001.yaml,128,1,2,0.3,0.0001,42,0.02251,0.04489,68,0.01017,0.02128,68,"(128, 1, 2, 0.3, 0.0001)",[42]
sasrec-256-1-2-0.2-0.0001.yaml,256,1,2,0.2,0.0001,42,0.02352,0.04266,68,0.01017,0.02098,68,"(256, 1, 2, 0.2, 0.0001)",[42]
sasrec-128-3-4-0.2-0.0001.yaml,128,3,4,0.2,0.0001,42,0.02219,0.04356,59,0.01017,0.02128,59,"(128, 3, 4, 0.2, 0.0001)",[42]
sasrec-128-2-2-0.2-0.001.yaml,128,2,2,0.2,0.001,42,0.02347,0.04697,7,0.01017,0.02152,7,"(128, 2, 2, 0.2, 0.001)","[42, 1, 256]"
sasrec-128-1-2-0.1-0.0005.yaml,128,1,2,0.1,0.0005,42,0.02252,0.044,11,0.01017,0.0211,11,"(128, 1, 2, 0.1, 0.0005)",[42]
sasrec-64-2-2-0.2-0.0005.yaml,64,2,2,0.2,0.0005,42,0.02322,0.04623,18,0.01016,0.02063,18,"(64, 2, 2, 0.2, 0.0005)","[42, 1, 256]"
128-4-2-0.2-0.0005-256.yaml,128,4,2,0.2,0.0005,256,0.02306,0.04579,12,0.01016,0.02075,12,"(128, 4, 2, 0.2, 0.0005)","[42, 1, 256]"
sasrec-64-4-4-0.1-0.0005.yaml,64,4,4,0.1,0.0005,42,0.02288,0.04475,18,0.01015,0.02069,18,"(64, 4, 4, 0.1, 0.0005)",[42]
sasrec-256-2-2-0.1-0.001.yaml,256,2,2,0.1,0.001,42,0.02265,0.04296,7,0.01014,0.02092,7,"(256, 2, 2, 0.1, 0.001)",[42]
sasrec-64-2-2-0.3-0.0005.yaml,64,2,2,0.3,0.0005,42,0.02339,0.04712,21,0.01014,0.02098,21,"(64, 2, 2, 0.3, 0.0005)","[42, 1]"
128-2-2-0.3-0.001-1.yaml,128,2,2,0.3,0.001,1,0.02347,0.04549,11,0.01013,0.02193,11,"(128, 2, 2, 0.3, 0.001)","[42, 1, 256]"
sasrec-128-4-2-0.2-0.001.yaml,128,4,2,0.2,0.001,42,0.02351,0.04712,7,0.01013,0.02116,7,"(128, 4, 2, 0.2, 0.001)","[42, 1]"
64-2-4-0.2-0.001-256.yaml,64,2,4,0.2,0.001,256,0.02208,0.04475,10,0.01013,0.02098,10,"(64, 2, 4, 0.2, 0.001)","[42, 1, 256]"
sasrec-128-1-4-0.3-0.0001.yaml,128,1,4,0.3,0.0001,42,0.02191,0.044,66,0.01013,0.02134,66,"(128, 1, 4, 0.3, 0.0001)",[42]
sasrec-64-4-4-0.3-0.0005.yaml,64,4,4,0.3,0.0005,42,0.02363,0.04608,19,0.01012,0.02009,19,"(64, 4, 4, 0.3, 0.0005)","[42, 1, 256]"
sasrec-128-2-8-0.1-0.001.yaml,128,2,8,0.1,0.001,42,0.023,0.04697,6,0.01012,0.02063,6,"(128, 2, 8, 0.1, 0.001)",[42]
64-2-2-0.2-0.001-256.yaml,64,2,2,0.2,0.001,256,0.02255,0.04415,11,0.01012,0.02182,11,"(64, 2, 2, 0.2, 0.001)","[42, 1, 256]"
sasrec-128-1-4-0.1-0.005.yaml,128,1,4,0.1,0.005,42,0.02043,0.04311,3,0.01011,0.02092,3,"(128, 1, 4, 0.1, 0.005)",[42]
sasrec-64-4-8-0.2-0.001.yaml,64,4,8,0.2,0.001,42,0.02258,0.04296,9,0.01011,0.0195,9,"(64, 4, 8, 0.2, 0.001)",[42]
sasrec-128-2-2-0.2-0.0001.yaml,128,2,2,0.2,0.0001,42,0.02284,0.04445,71,0.01011,0.02134,71,"(128, 2, 2, 0.2, 0.0001)",[42]
128-2-2-0.3-0.0005-256.yaml,128,2,2,0.3,0.0005,256,0.02343,0.04579,21,0.01011,0.02134,21,"(128, 2, 2, 0.3, 0.0005)","[42, 1, 256]"
64-2-4-0.3-0.0005-1.yaml,64,2,4,0.3,0.0005,1,0.02226,0.04475,20,0.01011,0.02033,20,"(64, 2, 4, 0.3, 0.0005)","[42, 1, 256]"
